//Exported ASCII-File
[Header]
FileName = C:\Messungen......wip
GraphName = MNPs_005_Spec.Data 1 (CRR) (Sub BG)
SizeX = 1
SizeY = 1
SizeGraph = 1650
PositionUnit = �m
PositionX = -0.000844336967005862
PositionY = -0.00250331908302678
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	MNPs_005_Spec.Data 1 (CRR) (Sub BG)
rel. 1/cm	CCD cts
 2.88819E+01	-4.98993E-01
 3.18129E+01	-1.16257E+00
 3.47429E+01	-8.07678E-01
 3.76719E+01	-5.30884E-01
 4.05999E+01	-1.26712E+00
 4.35269E+01	-1.99585E+00
 4.64529E+01	-1.38824E+00
 4.93779E+01	-4.18396E+00
 5.23019E+01	-5.16425E+00
 5.52249E+01	-5.78265E+00
 5.81469E+01	-6.39346E+00
 6.10680E+01	-9.81390E+00
 6.39880E+01	-1.97625E+01
 6.69070E+01	-3.06711E+01
 6.98251E+01	-3.53961E+01
 7.27421E+01	-4.13021E+01
 7.56582E+01	 2.61469E+00
 7.85732E+01	 2.15772E+01
 8.14873E+01	-1.31259E+01
 8.44004E+01	 1.47524E+02
 8.73124E+01	 2.77108E+02
 9.02235E+01	 3.35983E+02
 9.31336E+01	 3.44435E+02
 9.60428E+01	 3.49774E+02
 9.89509E+01	 3.27418E+02
 1.01858E+02	 3.34846E+02
 1.04764E+02	 3.35698E+02
 1.07669E+02	 3.33436E+02
 1.10573E+02	 3.29297E+02
 1.13477E+02	 3.29924E+02
 1.16379E+02	 3.32201E+02
 1.19280E+02	 3.35780E+02
 1.22180E+02	 3.44984E+02
 1.25080E+02	 3.62870E+02
 1.27978E+02	 3.73898E+02
 1.30875E+02	 3.80427E+02
 1.33771E+02	 3.85718E+02
 1.36667E+02	 4.11367E+02
 1.39561E+02	 4.03202E+02
 1.42454E+02	 3.92821E+02
 1.45347E+02	 4.00419E+02
 1.48238E+02	 3.85194E+02
 1.51128E+02	 3.83010E+02
 1.54018E+02	 3.68698E+02
 1.56906E+02	 3.60722E+02
 1.59794E+02	 3.55015E+02
 1.62680E+02	 3.60673E+02
 1.65566E+02	 3.61697E+02
 1.68450E+02	 3.55783E+02
 1.71334E+02	 3.51098E+02
 1.74216E+02	 3.51240E+02
 1.77098E+02	 3.53675E+02
 1.79978E+02	 3.56269E+02
 1.82858E+02	 3.56286E+02
 1.85737E+02	 3.64628E+02
 1.88614E+02	 3.64958E+02
 1.91491E+02	 3.69643E+02
 1.94367E+02	 3.77482E+02
 1.97242E+02	 3.70475E+02
 2.00115E+02	 3.76555E+02
 2.02988E+02	 3.78087E+02
 2.05860E+02	 3.83337E+02
 2.08731E+02	 3.93238E+02
 2.11601E+02	 3.96623E+02
 2.14470E+02	 3.98859E+02
 2.17338E+02	 4.02678E+02
 2.20205E+02	 4.08713E+02
 2.23071E+02	 4.11230E+02
 2.25936E+02	 4.17996E+02
 2.28800E+02	 4.16910E+02
 2.31663E+02	 4.22705E+02
 2.34525E+02	 4.30147E+02
 2.37386E+02	 4.32104E+02
 2.40246E+02	 4.50374E+02
 2.43105E+02	 4.41991E+02
 2.45964E+02	 4.51254E+02
 2.48821E+02	 4.46597E+02
 2.51677E+02	 4.60318E+02
 2.54533E+02	 4.59086E+02
 2.57387E+02	 4.55099E+02
 2.60241E+02	 4.66623E+02
 2.63093E+02	 4.58559E+02
 2.65945E+02	 4.47773E+02
 2.68795E+02	 4.62399E+02
 2.71645E+02	 4.60935E+02
 2.74493E+02	 4.56799E+02
 2.77341E+02	 4.52674E+02
 2.80188E+02	 4.45342E+02
 2.83033E+02	 4.45888E+02
 2.85878E+02	 4.48976E+02
 2.88722E+02	 4.43709E+02
 2.91565E+02	 4.32018E+02
 2.94407E+02	 4.29370E+02
 2.97248E+02	 4.26298E+02
 3.00088E+02	 4.24869E+02
 3.02927E+02	 4.17549E+02
 3.05765E+02	 4.17872E+02
 3.08602E+02	 4.11571E+02
 3.11438E+02	 4.05179E+02
 3.14273E+02	 4.13829E+02
 3.17108E+02	 4.07488E+02
 3.19941E+02	 4.05022E+02
 3.22773E+02	 4.03098E+02
 3.25605E+02	 3.97849E+02
 3.28435E+02	 3.90209E+02
 3.31265E+02	 3.99944E+02
 3.34093E+02	 4.03254E+02
 3.36921E+02	 4.06905E+02
 3.39747E+02	 4.10064E+02
 3.42573E+02	 4.01665E+02
 3.45398E+02	 4.02240E+02
 3.48222E+02	 4.13723E+02
 3.51044E+02	 4.06547E+02
 3.53866E+02	 4.19745E+02
 3.56687E+02	 4.26118E+02
 3.59507E+02	 4.29065E+02
 3.62326E+02	 4.33420E+02
 3.65144E+02	 4.31849E+02
 3.67961E+02	 4.43752E+02
 3.70778E+02	 4.38195E+02
 3.73593E+02	 4.56679E+02
 3.76407E+02	 4.64404E+02
 3.79221E+02	 4.75236E+02
 3.82033E+02	 4.79275E+02
 3.84844E+02	 4.88721E+02
 3.87655E+02	 4.98608E+02
 3.90465E+02	 5.03168E+02
 3.93273E+02	 5.07335E+02
 3.96081E+02	 5.10943E+02
 3.98888E+02	 5.20857E+02
 4.01693E+02	 5.06345E+02
 4.04498E+02	 4.97540E+02
 4.07302E+02	 5.02041E+02
 4.10105E+02	 5.01116E+02
 4.12907E+02	 5.04698E+02
 4.15708E+02	 4.78152E+02
 4.18509E+02	 4.63147E+02
 4.21308E+02	 4.64349E+02
 4.24106E+02	 4.58257E+02
 4.26904E+02	 4.39438E+02
 4.29700E+02	 4.24059E+02
 4.32496E+02	 4.13087E+02
 4.35290E+02	 4.02654E+02
 4.38084E+02	 3.86395E+02
 4.40876E+02	 3.78608E+02
 4.43668E+02	 3.52828E+02
 4.46459E+02	 3.43922E+02
 4.49249E+02	 3.44254E+02
 4.52038E+02	 3.30160E+02
 4.54826E+02	 3.22172E+02
 4.57613E+02	 3.04924E+02
 4.60399E+02	 2.92282E+02
 4.63184E+02	 2.86580E+02
 4.65969E+02	 2.76950E+02
 4.68752E+02	 2.57061E+02
 4.71534E+02	 2.61777E+02
 4.74316E+02	 2.44066E+02
 4.77097E+02	 2.44162E+02
 4.79876E+02	 2.27231E+02
 4.82655E+02	 2.29405E+02
 4.85433E+02	 2.33886E+02
 4.88210E+02	 2.21773E+02
 4.90986E+02	 2.07000E+02
 4.93761E+02	 2.16832E+02
 4.96535E+02	 2.07505E+02
 4.99308E+02	 1.98350E+02
 5.02080E+02	 1.99468E+02
 5.04851E+02	 1.89258E+02
 5.07622E+02	 2.00022E+02
 5.10391E+02	 2.01258E+02
 5.13160E+02	 1.94268E+02
 5.15927E+02	 1.97350E+02
 5.18694E+02	 1.95538E+02
 5.21460E+02	 1.89533E+02
 5.24225E+02	 1.94800E+02
 5.26989E+02	 1.96673E+02
 5.29752E+02	 1.98819E+02
 5.32514E+02	 1.96672E+02
 5.35275E+02	 1.99031E+02
 5.38035E+02	 1.94762E+02
 5.40795E+02	 1.95200E+02
 5.43553E+02	 1.93244E+02
 5.46311E+02	 1.90994E+02
 5.49067E+02	 1.89850E+02
 5.51823E+02	 1.88146E+02
 5.54578E+02	 1.92582E+02
 5.57331E+02	 1.84957E+02
 5.60084E+02	 1.88006E+02
 5.62836E+02	 1.98327E+02
 5.65587E+02	 1.84288E+02
 5.68338E+02	 1.91055E+02
 5.71087E+02	 1.90062E+02
 5.73835E+02	 1.96742E+02
 5.76583E+02	 1.95528E+02
 5.79329E+02	 1.99954E+02
 5.82075E+02	 2.01753E+02
 5.84820E+02	 2.01226E+02
 5.87563E+02	 2.02255E+02
 5.90306E+02	 2.03290E+02
 5.93048E+02	 2.16549E+02
 5.95789E+02	 2.29014E+02
 5.98530E+02	 2.26986E+02
 6.01269E+02	 2.24364E+02
 6.04007E+02	 2.33716E+02
 6.06745E+02	 2.27641E+02
 6.09481E+02	 2.28273E+02
 6.12217E+02	 2.11478E+02
 6.14951E+02	 2.28024E+02
 6.17685E+02	 2.12376E+02
 6.20418E+02	 2.01869E+02
 6.23150E+02	 2.11068E+02
 6.25881E+02	 1.92275E+02
 6.28611E+02	 1.84655E+02
 6.31341E+02	 1.77108E+02
 6.34069E+02	 1.64603E+02
 6.36797E+02	 1.46338E+02
 6.39523E+02	 1.37379E+02
 6.42249E+02	 1.41162E+02
 6.44974E+02	 1.31752E+02
 6.47698E+02	 1.37916E+02
 6.50421E+02	 1.17820E+02
 6.53143E+02	 1.22499E+02
 6.55864E+02	 1.24485E+02
 6.58584E+02	 1.22212E+02
 6.61303E+02	 1.14347E+02
 6.64022E+02	 1.09589E+02
 6.66740E+02	 1.09340E+02
 6.69456E+02	 1.14731E+02
 6.72172E+02	 1.11364E+02
 6.74887E+02	 1.10872E+02
 6.77601E+02	 1.03154E+02
 6.80314E+02	 1.05311E+02
 6.83026E+02	 9.35758E+01
 6.85738E+02	 1.03483E+02
 6.88448E+02	 9.68148E+01
 6.91157E+02	 9.01554E+01
 6.93866E+02	 9.56545E+01
 6.96574E+02	 9.19956E+01
 6.99281E+02	 8.65123E+01
 7.01987E+02	 8.11045E+01
 7.04692E+02	 8.18057E+01
 7.07396E+02	 7.42827E+01
 7.10099E+02	 5.86356E+01
 7.12802E+02	 6.28645E+01
 7.15503E+02	 5.40364E+01
 7.18204E+02	 5.51511E+01
 7.20903E+02	 5.08088E+01
 7.23602E+02	 5.21099E+01
 7.26300E+02	 5.30876E+01
 7.28997E+02	 3.97089E+01
 7.31694E+02	 3.74071E+01
 7.34389E+02	 3.25160E+01
 7.37083E+02	 3.97354E+01
 7.39777E+02	 3.30988E+01
 7.42469E+02	 2.61735E+01
 7.45161E+02	 2.21925E+01
 7.47852E+02	 1.80564E+01
 7.50542E+02	 3.31318E+01
 7.53231E+02	 2.47191E+01
 7.55919E+02	 1.70518E+01
 7.58607E+02	 2.15634E+01
 7.61293E+02	 2.90208E+01
 7.63979E+02	 2.58242E+01
 7.66663E+02	 1.84742E+01
 7.69347E+02	 2.36040E+01
 7.72030E+02	 1.60475E+01
 7.74712E+02	 2.59381E+01
 7.77393E+02	 1.78096E+01
 7.80074E+02	 1.93623E+01
 7.82753E+02	 2.31965E+01
 7.85432E+02	 1.67126E+01
 7.88109E+02	 1.36445E+01
 7.90786E+02	 1.07592E+01
 7.93462E+02	 9.15674E+00
 7.96137E+02	 1.17712E+01
 7.98811E+02	 1.69700E+01
 8.01484E+02	 1.56532E+01
 8.04157E+02	 1.10881E+01
 8.06828E+02	 1.12422E+01
 8.09499E+02	 1.44158E+01
 8.12169E+02	 1.70763E+01
 8.14838E+02	 9.95789E+00
